area.code,voice.plan,voice.messages,intl.plan,intl.mins,intl.calls,day.mins,eve.calls,eve.charge,night.calls,customer.calls,churn
415,1,25,0,10.0,3,265.1,99,16.78,91,1,0
415,1,26,0,13.7,3,161.6,103,16.62,103,1,0
415,0,0,0,12.2,5,243.4,110,10.3,104,0,0
408,0,0,1,6.6,7,299.4,88,5.26,89,2,0
415,0,0,1,10.1,3,166.7,122,12.61,121,3,0
510,0,0,1,6.3,6,223.4,101,18.75,118,0,0
510,1,24,0,7.5,7,218.2,108,29.62,118,3,0
415,0,0,1,7.1,6,157.0,94,8.76,96,0,0
408,0,0,0,8.7,4,184.5,80,29.89,90,1,0
415,1,37,1,11.2,5,258.6,111,18.87,97,0,0
415,0,0,0,12.7,6,129.1,83,19.42,111,4,1
415,0,0,0,9.1,5,187.7,148,13.89,94,0,0
408,0,0,0,11.2,2,128.8,71,8.92,128,1,0
510,0,0,0,12.3,5,156.6,75,21.05,115,3,0
415,0,0,0,13.1,6,120.7,76,26.11,99,4,0
415,0,0,0,5.4,9,332.9,97,27.01,128,4,1
408,1,27,0,13.8,4,196.4,90,23.88,75,1,0
510,0,0,0,8.1,3,190.7,111,18.55,121,3,0
510,1,33,0,10.0,5,189.7,65,18.09,108,1,0
415,0,0,0,13.0,2,224.4,88,13.56,74,1,0
415,0,0,0,10.6,4,155.1,93,20.37,133,0,0
408,0,0,0,5.7,6,62.4,121,14.44,64,5,1
415,0,0,0,7.7,6,110.4,102,11.67,105,2,0
510,0,0,0,10.3,2,81.1,72,20.84,115,0,0
415,0,0,0,15.5,5,124.3,112,23.55,115,3,0
408,1,39,0,9.5,3,213.0,112,16.24,115,0,0
408,0,0,0,14.7,4,134.3,100,13.22,68,3,0
415,0,0,0,6.3,6,190.0,84,21.95,102,0,0
510,0,0,0,11.1,1,119.3,109,18.28,90,1,0
415,0,0,0,14.2,6,84.8,63,11.62,148,2,0
510,0,0,0,10.3,5,226.1,107,17.13,98,1,0
408,0,0,0,12.6,10,212.0,115,2.65,78,3,0
408,0,0,0,11.8,3,249.6,119,21.45,90,1,1
408,1,25,0,8.3,4,176.8,75,16.58,116,0,0
415,1,37,0,14.7,6,220.0,102,18.47,71,3,0
408,1,30,0,14.5,6,146.3,80,13.81,109,0,0
415,0,0,0,10.0,5,130.8,116,19.01,108,1,0
415,1,33,1,10.5,6,203.9,99,15.95,107,3,0
408,0,0,0,11.1,9,140.4,92,23.1,108,1,0
408,0,0,0,9.4,2,126.3,85,14.18,135,3,0
408,1,41,1,14.6,15,173.1,107,17.33,78,0,1
510,0,0,0,10.0,4,124.8,98,23.99,78,2,0
415,0,0,0,9.2,4,85.8,110,14.05,92,3,0
510,0,0,0,3.5,3,154.0,118,19.19,86,1,0
408,1,28,0,8.5,5,120.9,92,18.11,116,2,0
415,0,0,0,13.2,5,211.3,122,13.82,118,3,0
408,0,0,0,7.4,5,187.0,74,11.44,127,2,0
415,0,0,0,8.8,3,159.1,117,19.66,91,5,1
415,1,24,0,11.0,3,133.2,58,18.46,79,1,0
408,0,0,0,7.8,5,191.9,96,22.93,87,3,0
408,0,0,0,6.8,3,220.6,115,17.94,129,1,0
408,0,0,0,11.4,6,186.1,66,16.17,57,2,0
415,0,0,0,9.3,5,160.2,67,22.74,68,2,0
415,0,0,0,9.7,3,151.0,116,18.67,127,5,1
408,0,0,0,10.2,3,175.5,85,21.19,98,1,0
415,0,0,0,8.0,2,126.9,62,15.3,128,1,0
408,1,30,0,5.8,3,198.4,77,6.4,77,3,1
415,0,0,0,12.1,3,148.8,164,20.95,103,3,0
408,0,0,0,12.0,8,229.3,126,15.08,95,1,0
408,0,0,0,11.4,4,192.1,94,14.44,54,1,0
415,1,34,0,11.6,3,268.6,142,15.15,106,2,0
510,1,33,0,14.6,3,193.7,96,20.92,92,2,0
408,1,28,0,12.6,3,180.7,64,15.96,53,3,0
408,0,0,0,8.2,6,131.2,97,13.85,106,2,0
